,Year,Teams,Ranking,avg player value (EU),avg player wage,Transfer Spend (Euros),MA
0,2019,Juventus,1.0,27679000.0,130840.0,201.15,194.28
1,2019,Inter Milan,2.0,19418125.0,66792.0,,
2,2019,SS Lazio,3.0,10884848.0,38273.0,41.078,36.29
3,2019,Atalanta,4.0,6632200.0,20880.0,51.13,49.78
4,2019,AS Roma,5.0,12983653.0,53769.0,102.69,110.81
5,2019,AC Milan,6.0,14662068.0,72552.0,94.05,146.03
6,2019,Napoli,7.0,19816000.0,70000.0,176.85000000000005,100.5
7,2019,Sassuolo,8.0,5555370.0,30037.0,55.40000000000001,41.03
8,2019,Parma,9.0,2802413.0,22655.0,,
9,2019,ACF Fiorentina,10.0,7315652.0,39261.0,40.72,54.44
10,2019,Hellas Verona,11.0,1518275.0,7379.0,18.668999999999997,0.0
11,2019,Bologna 1909,12.0,4771428.0,21714.0,64.434,0.0
12,2019,Udinese Calcio,13.0,5071666.0,15533.0,11.34,25.38
13,2019,Cagliari Calcio,14.0,4088000.0,22360.0,38.15999999999999,0.0
14,2019,Sampdoria,15.0,5162407.0,23704.0,58.45500000000001,51.35
15,2019,Torino,16.0,7524423.0,28423.0,26.28,31.94
16,2019,Genoa,17.0,4001600.0,12240.0,44.145,36.46
17,2019,Lecce,18.0,744137.0,2793.0,5.535,0.0
18,2019,Brescia Calcio,19.0,1078000.0,2300.0,16.790000000000006,0.0
19,2019,SPAL,20.0,3567592.0,10111.0,22.815,0.0
20,2018,Juventus,1.0,23734615.0,121731.0,233.73,185.97
21,2018,Napoli,2.0,15474814.0,62630.0,63.45,71.28
22,2018,Atalanta,3.0,5672857.0,23893.0,48.605,37.04
23,2018,Inter Milan,4.0,13677291.0,54542.0,,
24,2018,AC Milan,5.0,11658387.0,63677.0,169.01999999999995,123.55
25,2018,AS Roma,6.0,13695555.0,59926.0,147.7,107.36
26,2018,Torino,7.0,7250185.0,38519.0,47.835,31.72
27,2018,SS Lazio,8.0,8183333.0,34182.0,42.51000000000001,32.41
28,2018,Sampdoria,9.0,5169821.0,26929.0,49.68000000000001,43.76
29,2018,Bologna 1909,10.0,4703000.0,33267.0,28.094,0.0
30,2018,Sassuolo,11.0,5652692.0,35462.0,35.72999999999999,30.81
31,2018,Udinese Calcio,12.0,4004687.0,16406.0,44.46000000000001,27.3
